Distance,RPM,In / Out,Location
166.5,4000,In,Hit Back Rim
166.5,4000,In,Hit Back Rim
166.5,4000,Out,Near Back Rim
166.5,4000,Out,Long
175,3800,In,Center
175,3800,In,Near Front Rim
175,3800,In,Center
175,3800,Out,Hit Front Rim
175,3850,In,Center
175,3850,In,Center
175,3900,In,Center
175,3900,In,Near Front Rim
175,3900,In,Center
175,3900,In,Center
175,3900,In,Center
175,4000,In,Center
175,4000,In,Center
175,4000,In,Hit Back Rim
175,4000,Out,Near Back Rim
175.4,4050,In,Center
175.4,4050,In,Center
175.4,4100,Out,Near Back Rim
184.3,3950,In,Center Bounced Out
184.3,3950,In,Center
184.3,3950,In,Center
184.3,4050,In,Center
184.3,4050,In,Near Front Rim
184.3,4050,In,Center
184.3,4150,In,Center Bounced Out
184.3,4150,In,Center
184.3,4150,In,Hit Back Rim
184.3,4150,Out,Near Back Rim
184.3,4200,In,Center
184.3,4200,In,Hit Back Rim
184.3,4200,Out,Near Back Rim
192,3800,Out,Short
192,3900,In,Center
192,3900,In,Center
192,3900,In,Center
192,3900,In,Center
192,3900,In,Center
192,3900,In,Center
192,3900,Out,Hit Front Rim
192,4000,In,Center
192,4000,In,Center
192,4100,In,Center Bounced Out
192,4100,In,Center Bounced Out
192,4200,In,Center
192,4200,In,Center
192,4200,In,Center
192,4200,In,Center Bounced Out
192,4300,In,Center
192,4300,In,Hit Back Rim
192,4300,In,Center
192,4300,Out,Long
198.5,4200,In,Center Bounced Out
206.2,4000,Out,Hit Front Rim
206.2,4000,Out,Hit Front Rim
206.2,4050,In,Center
206.2,4050,In,Center
206.2,4050,In,Near Front Rim
206.2,4050,Out,Hit Front Rim
206.2,4100,In,Center
206.2,4100,In,Center
206.2,4100,In,Center
206.2,4100,In,Center Bounced Out
206.2,4100,In,Center
206.2,4100,In,Center
206.2,4150,In,Center
206.2,4150,In,Center
206.2,4150,In,Center
206.2,4150,In,Center
206.2,4200,In,Center
206.2,4200,In,Center Bounced Out
206.2,4300,In,Center
206.2,4300,In,Center
206.2,4300,In,Center
206.2,4400,In,Center
206.2,4400,In,Center
206.2,4400,In,Center
206.2,4400,In,Center
206.2,4450,In,Center Bounced Out
206.2,4450,In,Hit Back Rim
207.7,4100,Out,Short
207.7,4100,Out,Short
207.7,4200,In,Center
207.7,4200,In,Center
207.7,4200,In,Center
207.7,4300,In,Center
207.7,4300,In,Center
207.7,4300,In,Center
207.7,4300,In,Center
207.7,4300,In,Center Bounced Out
207.7,4300,Out,Hit Front Rim
207.7,4350,In,Center
207.7,4350,In,Center Bounced Out
207.7,4400,In,Hit Back Rim
207.7,4400,In,Center Bounced Out
207.7,4400,In,Center Bounced Out
213.6,4400,In,Center Bounced Out
213.6,4400,In,Center
213.6,4400,In,Center
213.6,4400,In,Near Front Rim
213.6,4400,Out,Hit Front Rim
213.6,4450,In,Center
213.6,4450,In,Center
213.6,4450,In,Center
213.6,4450,In,Center Bounced Out
213.6,4450,Out,Long
213.6,4500,In,Center
213.6,4500,In,Center
213.6,4500,In,Center
213.6,4550,In,Near Front Rim
213.6,4550,In,Center
213.6,4550,In,Hit Back Rim
213.6,4550,In,Center
