Velocity (RPM) - Plot 0	Voltage - Plot 0
235.84	0.649267
235.84	0.649267
233.203	0.649267
233.203	0.649267
234.668	0.649267
234.668	0.649267
234.082	0.649267
234.082	0.649267
233.789	0.649267
233.789	0.649267
232.617	0.649267
232.617	0.649267
235.547	0.649267
235.547	0.649267
236.133	0.649267
236.133	0.649267
181.934	0.649267
181.934	0.649267
131.836	0.649267
131.836	0.31261
90.5273	0.31261
90.5273	0.31261
75	0.31261
75	0.31261
71.4844	0.31261
71.4844	0.31261
68.5547	0.31261
68.5547	0.31261
68.2617	0.31261
68.2617	0.31261
92.8711	0.31261
92.8711	0.31261
159.375	0.31261
159.375	0.31261
214.453	0.31261
214.453	0.649267
228.809	0.649267
228.809	0.649267
231.445	0.649267
231.445	0.649267
232.031	0.649267
232.031	0.649267
232.031	0.649267
232.031	0.985924
255.762	0.985924
255.762	0.985924
382.91	0.985924
382.91	0.985924
400.488	0.985924
400.488	0.981916
404.883	0.981916
404.883	0.981916
406.348	0.981916
406.348	0.981916
406.055	0.981916
406.055	0.981916
403.418	0.981916
403.418	0.949853
440.918	0.949853
440.918	1.33211
519.434	1.33211
519.434	1.33211
574.219	1.33211
574.219	1.33211
587.988	1.33211
587.988	1.33773
591.211	1.33773
591.211	1.31447
591.797	1.31447
591.797	1.31447
590.625	1.31447
590.625	1.31447
590.625	1.31447
590.625	1.31999
590.332	1.31999
590.332	1.70547
602.051	1.70547
602.051	1.70547
736.816	1.70547
736.816	1.70547
765.234	1.70547
765.234	1.6912
770.801	1.6912
770.801	1.64487
771.094	1.64487
771.094	1.64487
777.539	1.64487
777.539	1.64487
775.781	1.64487
775.781	1.64487
777.539	1.64487
777.539	2.03871
809.766	2.03871
809.766	2.03871
878.613	2.03871
878.613	2.03871
949.805	2.03871
949.805	2.02151
958.008	2.02151
958.008	1.97556
966.211	1.97556
966.211	1.97556
970.605	1.97556
970.605	1.97556
978.516	1.97556
978.516	1.96716
978.516	1.96716
1007.81	2.31026
1007.81	2.31026
1065.23	2.31026
1065.23	2.31026
1106.84	2.31026
1106.84	2.31026
1143.16	2.31026
1143.16	2.31026
1152.83	2.31026
1152.83	2.31026
1159.86	2.31026
1159.86	2.31026
1167.77	2.31026
1167.77	2.31026
1174.22	2.31026
1174.22	2.31026
1219.34	2.61906
1219.34	2.61906
1261.82	2.61906
1261.82	2.61906
1285.25	2.61906
1285.25	2.61906
1299.9	2.66383
1299.9	2.66383
1312.79	2.64057
1312.79	2.64057
1330.96	2.64057
1330.96	2.64057
1335.64	2.64057
1335.64	2.64057
1335.64	2.64057
1335.64	2.64057
1336.23	2.64057
1336.23	2.64057
1361.72	2.64057
1361.72	2.64057
1406.25	2.64057
1406.25	2.64057
1448.14	2.62947
1448.14	2.62947
1471.58	2.97698
1471.58	2.97698
1501.17	2.97698
1501.17	2.97698
1501.17	2.97698
1508.2	2.97698
1508.2	2.97698
1510.25	2.97698
1510.25	2.97698
1516.41	2.97698
1516.41	2.97698
1543.07	2.97698
1543.07	2.97698
1590.53	2.97698
1590.53	2.95186
1629.2	2.95186
1629.2	3.29643
1654.39	3.29643
1654.39	3.29643
1670.8	3.29643
1670.8	3.29643
1683.98	3.29643
1683.98	3.32449
1684.86	3.32449
1684.86	3.3129
1685.74	3.3129
1685.74	3.3129
1687.21	3.3129
1687.21	3.3129
1756.05	3.3129
1756.05	3.27097
1798.24	3.27097
1798.24	3.63695
1826.66	3.63695
1826.66	3.63695
1845.41	3.63695
1845.41	3.63695
1854.49	3.63695
1854.49	3.66804
1857.13	3.66804
1857.13	3.63343
1857.13	3.63343
1857.13	3.63343
1859.47	3.63343
1859.47	3.63343
1880.57	3.63343
1880.57	3.58724
1926.27	3.58724
1926.27	3.95166
1971.39	3.95166
1971.39	3.95166
2021.19	3.95166
2021.19	3.95166
2028.81	3.95166
2028.81	3.98558
2029.69	3.96261
2029.69	3.96261
2029.1	3.96261
2029.1	3.96261
2032.03	3.96261
2032.03	3.96261
2028.22	3.96261
2028.22	3.96261
2033.2	3.96261
2033.2	4.41056
2052.25	4.41056
2052.25	4.41056
2095.9	4.41056
2095.9	4.41056
2146.87	4.41056
2146.87	4.39179
2200.2	4.39179
2200.2	4.31173
2205.18	4.31173
2205.18	4.31173
2206.05	4.31173
2206.05	4.31173
2206.93	4.31173
2206.93	4.33016
2206.64	4.33016
2206.64	4.33016
2208.69	4.33016
2208.69	4.33016
2206.64	4.33016
2206.64	4.33016
2206.64	4.33016
2264.36	4.25645
2264.36	4.25645
2316.21	4.62903
2316.21	4.62903
2349.9	4.62903
2349.9	4.62903
2369.24	4.62903
2369.24	4.62903
2379.49	4.68915
2379.49	4.68915
2380.37	4.65484
2380.37	4.65484
2380.37	4.65484
2380.37	4.65484
2380.37	4.65484
2388.28	4.65484
2388.28	4.55538
2429.88	4.93592
2429.88	4.93592
2484.08	4.93592
2484.08	4.93592
2520.7	4.93592
2520.7	4.93592
2551.46	4.93592
2551.46	5.02214
2554.39	5.02214
2554.39	4.9652
2551.76	4.9652
2551.76	4.9652
2551.17	4.9652
2551.17	4.9652
2553.81	4.9652
2553.81	4.94389
2554.1	4.94389
2554.1	5.39746
2617.38	5.39746
2617.38	5.39746
2668.07	5.39746
2668.07	5.39746
2701.17	5.39746
2701.17	5.39746
2718.46	5.39746
2718.46	5.29541
2725.49	5.29541
2725.49	5.29541
2725.2	5.29541
2725.2	5.29541
2724.02	5.29541
2724.02	5.29541
2724.9	5.29541
2724.9	5.29541
2724.61	5.29541
2724.61	5.29541
2731.93	5.29541
2731.93	5.29541
2822.75	5.29541
2822.75	5.24976
2822.75	5.24976
2859.96	5.62072
2859.96	5.62072
2892.48	5.62072
2892.48	5.62072
2895.41	5.62072
2895.41	5.62072
2895.41	5.6696
2895.41	5.63558
2893.95	5.63558
2893.95	5.63558
2894.53	5.63558
2894.53	5.63558
2894.53	5.63558
2904.79	5.63558
2904.79	5.53842
2994.43	5.53842
2994.43	5.93959
3033.4	5.93959
3033.4	5.93959
3055.37	5.93959
3055.37	5.93959
3065.62	5.93959
3065.62	6.01774
3067.38	6.01774
3067.38	5.96129
3068.85	5.96129
3068.85	5.96129
3068.26	5.96129
3068.26	5.96129
3068.26	5.96129
3068.26	5.96129
3068.85	5.96129
3068.85	5.95
3069.14	5.95
3069.14	5.95
3067.38	5.95
3067.38	5.95
3066.21	5.95
3066.21	5.95
3066.8	5.95
3066.8	5.96129
3068.55	5.96129
3068.55	5.96129
3068.85	5.96129
3068.85	5.96129
3067.97	5.96129
3067.97	5.96129
3068.26	5.96129
3068.26	5.96129
3067.97	5.96129
3067.97	5.96129
3068.55	5.96129
3068.55	5.96129
3068.26	5.96129
3068.26	5.96129
3070.31	5.96129
3070.31	5.96129
3070.02	5.96129
3070.02	5.96129
3056.25	5.96129
3056.25	5.96129
3056.25	5.96129
2940.23	6.03871
2940.23	6.03871
2903.61	5.67273
2903.61	5.67273
2896.29	5.67273
2896.29	5.67273
2898.05	5.67273
2898.05	5.67273
2897.46	5.64848
2897.46	5.64848
2897.75	5.67126
2897.75	5.67126
2899.22	5.67126
2899.22	5.67126
2900.68	5.67126
2900.68	5.67126
2900.98	5.64692
2900.98	5.64692
2897.46	5.62424
2897.46	5.62424
2896.58	5.62424
2896.58	5.62424
2898.05	5.62424
2898.05	5.62424
2899.51	5.62424
2899.51	5.62424
2899.51	5.62424
2897.75	5.62424
2897.75	5.62424
2896.87	5.62424
2896.87	5.62424
2897.17	5.62424
2897.17	5.64848
2876.95	5.64848
2876.95	5.1588
2819.82	5.1588
2819.82	5.1588
2757.42	5.1588
2757.42	5.1588
2757.42	5.1588
2725.49	5.1588
2725.49	5.1588
2728.71	5.30684
2728.71	5.30684
2729.3	5.30684
2729.3	5.30684
2727.83	5.30684
2727.83	5.30684
2727.54	5.30684
2727.54	5.29545
2727.25	5.29545
2727.25	5.29545
2726.66	5.29545
2726.66	5.29545
2729	5.29545
2729	5.29545
2730.18	5.29545
2730.18	5.29545
2729.3	5.29545
2729.3	5.29545
2729.3	5.29545
2729.3	5.29545
2728.71	5.29545
2728.71	5.29545
2728.42	5.29545
2728.42	5.29545
2730.47	5.29545
2730.47	5.29545
2727.83	5.29545
2727.83	5.29545
2728.42	5.29545
2728.42	5.29545
2729.3	5.38636
2729.3	5.38636
2700	4.89985
2700	4.89985
2700	4.89985
2578.42	4.89985
2578.42	4.89985
2556.15	4.89985
2556.15	4.81716
2554.69	4.9652
2554.69	4.9652
2554.69	4.9652
2562.01	4.9652
2562.01	4.9652
2560.55	4.9652
2560.55	4.9652
2557.91	4.9652
2557.91	4.9652
2561.43	4.9652
2561.43	4.9652
2560.84	4.9652
2560.84	4.9652
2560.55	4.9652
2560.55	4.9652
2561.13	4.9652
2561.13	4.9652
2562.01	4.95381
2562.01	4.95381
2559.08	4.95381
2559.08	4.95381
2559.08	4.95381
2560.84	4.95381
2560.84	4.95381
2559.37	4.95381
2559.37	4.9652
2560.25	4.9652
2560.25	4.9652
2561.72	4.9652
2561.72	4.9652
2561.13	4.9652
2561.13	5.13568
2499.32	5.13568
2499.32	4.66452
2429.59	4.66452
2429.59	4.66452
2390.92	4.66452
2390.92	4.66452
2384.47	4.66452
2384.47	4.52903
2386.82	4.52903
2386.82	4.63196
2387.7	4.63196
2387.7	4.63196
2388.28	4.63196
2388.28	4.63196
2387.7	4.63196
2387.7	4.65176
2385.64	4.65176
2385.64	4.65176
2384.18	4.65176
2384.18	4.65176
2385.94	4.65176
2385.94	4.65176
2383.59	4.65176
2383.59	4.63196
2382.71	4.63196
2382.71	4.16305
2354.59	4.16305
2354.59	4.16305
2288.38	4.16305
2288.38	4.16305
2214.84	4.16305
2214.84	4.18084
2214.84	4.18084
2214.84	4.31867
2216.31	4.31867
2216.31	4.31867
2216.6	4.31867
2216.6	4.31867
2218.65	4.31867
2218.65	4.31867
2215.14	4.31867
2215.14	4.30718
2215.14	4.30718
2215.14	4.30718
2215.72	4.30718
2215.72	4.30718
2216.31	4.30718
2216.31	4.30718
2217.19	4.30718
2217.19	3.88221
2152.44	3.88221
2152.44	3.88221
2082.71	3.88221
2082.71	3.88221
2046.09	3.88221
2046.09	3.89873
2041.11	3.89873
2041.11	3.96794
2041.7	3.96794
2041.7	3.96794
2039.06	3.96794
2039.06	3.96794
2037.3	3.96794
2037.3	3.96794
2036.13	3.96794
2036.13	3.97947
2039.94	3.97947
2039.94	3.97947
2040.23	3.97947
2040.23	3.97947
2042.29	3.97947
2042.29	3.97947
2040.23	3.97947
2040.23	3.96794
2037.89	3.96794
2037.89	3.96794
2035.55	3.96794
2035.55	3.96794
2038.77	3.96794
2038.77	3.95112
2037.89	3.95112
2037.89	3.95112
2040.23	3.95112
2040.23	3.95112
2040.23	3.95112
1993.95	3.95112
1993.95	3.95112
1928.32	4.00156
1928.32	4.00156
1878.52	3.65259
1878.52	3.65259
1867.09	3.65259
1867.09	3.65259
1867.97	3.65259
1867.97	3.65259
1867.38	3.63724
1867.38	3.63724
1867.97	3.63724
1867.97	3.63724
1868.26	3.63724
1868.26	3.63724
1867.97	3.63724
1867.97	3.63724
1868.26	3.6219
1868.26	3.6219
1869.73	3.63343
1869.73	3.63343
1869.43	3.63343
1869.43	3.63343
1868.26	3.63343
1868.26	3.63343
1868.26	3.66422
1868.26	3.66422
1849.22	3.22219
1849.22	3.22219
1727.34	3.22219
1727.34	3.22219
1698.05	3.22219
1698.05	3.22219
1696	3.20865
1696	3.20865
1695.7	3.30132
1695.7	3.30132
1696	3.30132
1696	3.30132
1696.87	3.30132
1696.87	3.30132
1698.34	3.30132
1698.34	3.30132
1696.29	3.30132
1696.29	3.30132
1696.29	3.30132
1696.29	3.30132
1696.58	3.30132
1696.58	3.30132
1698.34	3.30132
1698.34	3.30132
1697.46	3.30132
1697.46	3.30132
1697.46	3.30132
1696.29	3.30132
1696.29	3.30132
1697.17	3.30132
1697.17	3.30132
1698.34	3.30132
1698.34	3.30132
1698.34	3.30132
1698.34	3.30132
1699.22	3.30132
1699.22	3.30132
1682.81	3.30132
1682.81	3.35704
1569.43	3.35704
1569.43	3.01544
1529	3.01544
1529	3.01544
1523.14	3.01544
1523.14	3.01544
1523.73	3.01544
1523.73	2.97791
1525.49	2.97791
1525.49	2.97791
1525.78	2.97791
1525.78	2.97791
1526.37	2.97791
1526.37	2.97791
1524.9	2.97791
1524.9	2.97791
1526.07	2.97791
1526.07	2.97791
