106.495	3550
111.279	3450
111.424	3450
119.799	3650
119.949	3500
121.525	3550
128.102	3650
128.336	3600
129.529	3450
129.529	3500
129.529	3500
129.551	3550
137.077	3500
137.077	3600
137.077	3650
137.077	3450
141.175	3800
142.27	3700
142.287	3550
142.287	3600
147.185	3750
147.953	3600
147.979	3800
148.079	3550
154.157	3800
154.168	3700
154.705	3600
157.305	3900
157.448	4000
157.57	3850
157.691	3950
163.848	3950
166.616	3700
166.65	3900
166.65	3800
175.42	4050
175.735	4000
175.84	3850
175.882	3900
184.324	4200
184.324	4150
184.324	4050
184.324	3950
192.04	4000
192.04	4100
192.082	4200
192.084	3900
198.586	4300
198.632	4050
199.312	4150
200.879	4100
206.226	4400
207.662	4300
207.662	4200
212.469	4500
213.59	4450
213.59	4550
216.06	4650
218.243	4550
218.243	4450
218.713	4350
218.713	4550
225.151	4700
225.151	4650
228.381	4700
228.381	4600
229.28	4800
